-0.15137+0.84361i,-0.15745+0.87703i,-0.16419+0.89543i,-0.17345+0.90199i,-0.18309+0.90116i,-0.18441+0.89703i,-0.17346+0.88834i,-0.15076+0.86651i,-0.12115+0.82756i,-0.09912+0.77343i,-0.08974+0.70985i,-0.13134+0.59521i,-0.1692+0.56498i,-0.20395+0.55792i,-0.22333+0.57099i,-0.21773+0.59637i,-0.18298+0.62243i,-0.11796+0.6395i,-0.030423+0.63972i,0.069376+0.61555i,0.17322+0.56815i,0.26957+0.50214i,0.35919+0.42112i,0.43598+0.3251i,0.54933+0.094459i,0.57485-0.039201i,0.53624-0.31079i,0.47031-0.42656i,0.38325-0.51266i,0.28508-0.56186i,0.1881-0.57705i,0.10507-0.56315i,0.038743-0.52968i,-0.0048113-0.48921i,-0.03443-0.45492i,-0.0557-0.42928i,-0.079282-0.41612i,-0.15223-0.39914i,-0.19984-0.38052i,-0.24786-0.34884i,-0.29448-0.30764i,-0.33726-0.26063i,-0.37917-0.20744i,-0.42454-0.14894i,-0.47011-0.083338i,-0.51781-0.0082172i,-0.5575+0.080516i,-0.58369+0.17741i,-0.58813+0.28226i,-0.56584+0.38754i,-0.44107+0.56583i,-0.35019+0.6238i
-0.1946-0.37518i,-0.13191-0.41941i,-0.057328-0.4368i,0.04527-0.4465i,0.17348-0.47123i,0.31874-0.53294i,0.46254-0.62992i,0.58027-0.75409i,0.66458-0.89297i,0.71247-1.0192i,0.72579-1.1286i,0.6621-1.2168i,0.61879-1.1845i,0.59082-1.1061i,0.59053-0.99814i,0.61961-0.88036i,0.66702-0.76624i,0.72637-0.66558i,0.79012-0.57021i,0.84829-0.47627i,0.90655-0.38418i,0.96671-0.28592i,1.029-0.19846i,1.0791-0.11623i,1.1364+0.019483i,1.1324+0.082722i,1.0603+0.22909i,1.0004+0.3266i,0.94486+0.44201i,0.90927+0.57622i,0.89779+0.71336i,0.91607+0.83149i,0.9537+0.92284i,0.99629+0.96524i,1.0157+0.96806i,1.0109+0.93663i,0.96645+0.88284i,0.77826+0.7469i,0.64484+0.68055i,0.49808+0.62463i,0.34127+0.58788i,0.18526+0.56632i,0.044314+0.55873i,-0.083488+0.56041i,-0.19927+0.55568i,-0.31055+0.5544i,-0.40558+0.54846i,-0.49037+0.53618i,-0.54947+0.50862i,-0.58858+0.45417i,-0.65404+0.26225i,-0.69388+0.15128i
-0.00302+0.21426i,0.13795+0.11517i,0.23304+0.00056873i,0.30367-0.099359i,0.37634-0.18284i,0.46177-0.248i,0.54417-0.30587i,0.61625-0.35941i,0.67101-0.38776i,0.70113-0.38906i,0.73231-0.35233i,0.80334-0.26452i,0.83001-0.22505i,0.84141-0.18732i,0.84098-0.14256i,0.83839-0.087391i,0.84216-0.031565i,0.85031+0.028446i,0.84738+0.08467i,0.8343+0.13266i,0.80736+0.18282i,0.75439+0.22496i,0.6855+0.26923i,0.59122+0.29353i,0.29625+0.35418i,0.10464+0.41756i,-0.27099+0.65428i,-0.41687+0.80557i,-0.52916+0.96787i,-0.61957+1.1243i,-0.68417+1.2624i,-0.72804+1.3828i,-0.76739+1.4669i,-0.80049+1.5252i,-0.83849+1.54i,-0.89546+1.5399i,-0.95659+1.5282i,-1.0452+1.5109i,-1.0535+1.4926i,-1.0473+1.4582i,-1.0392+1.3955i,-1.034+1.3166i,-1.0416+1.2345i,-1.0531+1.1424i,-1.052+1.0446i,-1.0488+0.9171i,-1.0501+0.78256i,-1.0459+0.63973i,-1.0335+0.51594i,-0.9893+0.41041i,-0.78862+0.18938i,-0.67928+0.05893i
0.69419+0.44803i,0.75658+0.41037i,0.80004+0.35434i,0.80618+0.2868i,0.76881+0.22746i,0.69673+0.1869i,0.61353+0.17201i,0.53341+0.18072i,0.46439+0.19657i,0.41197+0.21307i,0.36179+0.22164i,0.26244+0.25521i,0.21716+0.28445i,0.18139+0.32184i,0.15806+0.36138i,0.14728+0.39548i,0.14635+0.41921i,0.14957+0.42015i,0.15281+0.39625i,0.14107+0.3535i,0.10504+0.29763i,0.048745+0.24819i,-0.028471+0.21386i,-0.10999+0.21336i,-0.22856+0.27744i,-0.25327+0.31953i,-0.26098+0.37181i,-0.26128+0.38302i,-0.26389+0.38539i,-0.26288+0.38597i,-0.25905+0.39073i,-0.24797+0.39585i,-0.22+0.40339i,-0.18117+0.40005i,-0.13406+0.38899i,-0.084948+0.35555i,-0.050915+0.30712i,-0.057953+0.19465i,-0.094995+0.15635i,-0.13709+0.13783i,-0.17152+0.14201i,-0.19426+0.15829i,-0.20222+0.17626i,-0.20247+0.19787i,-0.20761+0.22207i,-0.21406+0.26397i,-0.21951+0.31788i,-0.22281+0.39215i,-0.2142+0.47621i,-0.19082+0.56634i,-0.078343+0.73659i,0.016828+0.79085i
0.071513+1.1552i,0.059941+1.0349i,0.013949+0.89411i,-0.039083+0.76003i,-0.074441+0.63001i,-0.08931+0.51192i,-0.10479+0.39831i,-0.12185+0.28967i,-0.14222+0.20687i,-0.17236+0.13895i,-0.18631+0.092845i,-0.18979-0.063743i,-0.20743-0.17289i,-0.247-0.28926i,-0.30263-0.39511i,-0.36183-0.47981i,-0.41253-0.54778i,-0.45543-0.58502i,-0.50101-0.59529i,-0.53491-0.58039i,-0.54945-0.52944i,-0.54782-0.46458i,-0.5091-0.38043i,-0.43538-0.31962i,-0.22442-0.24934i,-0.098502-0.24754i,0.17267-0.30777i,0.30079-0.37489i,0.40211-0.44366i,0.46247-0.50395i,0.50215-0.5457i,0.53674-0.55503i,0.57005-0.5574i,0.62111-0.54821i,0.68729-0.56837i,0.74555-0.60212i,0.80085-0.66026i,0.8619-0.8036i,0.85213-0.87289i,0.79929-0.91918i,0.70703-0.93926i,0.59463-0.91124i,0.47208-0.8302i,0.36625-0.72212i,0.30042-0.59749i,0.26038-0.50218i,0.2287-0.41584i,0.21255-0.34626i,0.20137-0.26463i,0.21197-0.17105i,0.28531+0.0024393i,0.29788+0.081148i
-0.99345-1.4444i,-1.0159-1.4584i,-0.9943-1.435i,-0.9426-1.3938i,-0.87408-1.3343i,-0.79342-1.2587i,-0.68585-1.1693i,-0.54526-1.0738i,-0.3774-0.99495i,-0.18752-0.94292i,-0.0055549-0.91853i,0.32634-0.87912i,0.48135-0.85359i,0.63421-0.82754i,0.77883-0.80828i,0.90443-0.79766i,1.0034-0.78762i,1.0715-0.77872i,1.1166-0.76733i,1.1375-0.74765i,1.131-0.72289i,1.1058-0.68578i,1.0544-0.63298i,0.99366-0.54851i,0.8779-0.32723i,0.82964-0.20967i,0.72144+0.0075162i,0.65579+0.11477i,0.58676+0.2167i,0.52532+0.30858i,0.46792+0.3881i,0.40766+0.44664i,0.34842+0.48903i,0.27776+0.51427i,0.2039+0.53656i,0.12848+0.54239i,0.047169+0.53825i,-0.14845+0.49408i,-0.25992+0.46437i,-0.36787+0.42811i,-0.46191+0.38404i,-0.54811+0.32012i,-0.63333+0.22688i,-0.72982+0.11879i,-0.85191+0.011923i,-0.98134-0.06763i,-1.108-0.12431i,-1.2211-0.1513i,-1.3161-0.16752i,-1.3971-0.17213i,-1.486-0.12834i,-1.4537-0.098842i
-1.1038-0.5487i,-1.068-0.3944i,-0.96013-0.28338i,-0.84391-0.22126i,-0.74987-0.18215i,-0.69116-0.14385i,-0.64683-0.11236i,-0.59965-0.092637i,-0.56348-0.096846i,-0.53843-0.13334i,-0.54073-0.16791i,-0.50343-0.18678i,-0.44022-0.1892i,-0.3522-0.21379i,-0.26488-0.26895i,-0.20166-0.34614i,-0.16569-0.42735i,-0.16468-0.50361i,-0.18535-0.5819i,-0.21876-0.65323i,-0.2745-0.71425i,-0.33723-0.765i,-0.41111-0.78045i,-0.45402-0.75986i,-0.44981-0.67845i,-0.41385-0.65222i,-0.36192-0.64216i,-0.3537-0.64088i,-0.36518-0.64041i,-0.39037-0.64856i,-0.42783-0.64785i,-0.48453-0.62471i,-0.53371-0.57357i,-0.57089-0.47809i,-0.55212-0.34985i,-0.49014-0.22607i,-0.38634-0.1201i,-0.16399-0.012786i,-0.077145-0.0052651i,-0.017057-0.028451i,0.023704-0.079596i,0.028656-0.14657i,-0.014464-0.21986i,-0.090246-0.26473i,-0.18614-0.2448i,-0.24728-0.16616i,-0.27488-0.055091i,-0.25818+0.068975i,-0.23559+0.17482i,-0.22478+0.27092i,-0.19524+0.45602i,-0.13555+0.49576i
-0.21469+0.25269i,-0.26171+0.20199i,-0.33807+0.13578i,-0.44167+0.099645i,-0.53972+0.11647i,-0.61507+0.19597i,-0.65738+0.30126i,-0.65504+0.40541i,-0.63264+0.49783i,-0.60975+0.54815i,-0.59477+0.58623i,-0.55917+0.56517i,-0.55541+0.51836i,-0.56441+0.45539i,-0.58508+0.38864i,-0.6111+0.32629i,-0.62975+0.26379i,-0.65706+0.20603i,-0.70696+0.13768i,-0.77404+0.070115i,-0.86842+0.02745i,-0.97832+0.0014852i,-1.0833+0.027551i,-1.1389+0.073379i,-1.1036+0.18569i,-1.0126+0.21053i,-0.7499+0.14818i,-0.60573+0.05155i,-0.49171-0.075057i,-0.42582-0.22971i,-0.39671-0.38549i,-0.40427-0.51506i,-0.42885-0.6318i,-0.45853-0.70741i,-0.46098-0.77127i,-0.46337-0.81999i,-0.44433-0.85469i,-0.36746-0.86653i,-0.30517-0.85148i,-0.24023-0.83696i,-0.17083-0.84188i,-0.11211-0.85394i,-0.086704-0.87038i,-0.079362-0.88442i,-0.079037-0.86421i,-0.063055-0.83684i,-0.049979-0.78258i,-0.010696-0.70224i,0.033815-0.58827i,0.10243-0.43981i,0.34134-0.13059i,0.46956-0.02897i
-1.1234-1.1521i,-1.1567-1.1561i,-1.1261-1.178i,-1.1014-1.1926i,-1.0888-1.1547i,-1.1013-1.0418i,-1.0994-0.90476i,-1.052-0.77109i,-1.004-0.67419i,-0.96385-0.65921i,-0.97707-0.65154i,-0.94487-0.62039i,-0.88436-0.60088i,-0.79737-0.59975i,-0.7124-0.61394i,-0.64818-0.62286i,-0.58363-0.60488i,-0.5349-0.5602i,-0.47712-0.53536i,-0.39248-0.53213i,-0.3212-0.56116i,-0.25399-0.65575i,-0.23597-0.75378i,-0.20053-0.85448i,-0.19548-1.0384i,-0.22635-1.1061i,-0.35555-1.1011i,-0.39068-1.014i,-0.40351-0.9034i,-0.38164-0.82879i,-0.32695-0.78407i,-0.28577-0.76355i,-0.23723-0.78226i,-0.21854-0.77985i,-0.15584-0.75805i,-0.10282-0.74095i,-0.031733-0.70624i,0.067447-0.58386i,0.10281-0.48809i,0.13176-0.39652i,0.18951-0.334i,0.24511-0.2957i,0.26445-0.29807i,0.27475-0.30274i,0.27433-0.24279i,0.35089-0.1505i,0.45395-0.051619i,0.60419+0.047213i,0.70527+0.11413i,0.7314+0.19244i,0.66427+0.47971i,0.65638+0.61919i
0.14806-0.71932i,0.094732-0.80743i,-0.0053257-0.86896i,-0.12538-0.89417i,-0.24687-0.88962i,-0.35268-0.86144i,-0.44275-0.81082i,-0.51595-0.74528i,-0.56101-0.66736i,-0.58149-0.58102i,-0.56921-0.50638i,-0.53183-0.43008i,-0.53018-0.41919i,-0.54719-0.41162i,-0.57637-0.39905i,-0.60957-0.3801i,-0.64538-0.35907i,-0.67754-0.33365i,-0.71031-0.29678i,-0.7424-0.25048i,-0.76204-0.19152i,-0.77097-0.11882i,-0.75425-0.044816i,-0.72606+0.019272i,-0.62695+0.10816i,-0.56604+0.12429i,-0.45+0.084096i,-0.41753+0.030508i,-0.40685-0.027497i,-0.41992-0.071096i,-0.44694-0.09706i,-0.46952-0.10284i,-0.4872-0.092185i,-0.48602-0.079232i,-0.48262-0.075503i,-0.47333-0.074542i,-0.46643-0.084029i,-0.45649-0.11787i,-0.45603-0.13609i,-0.45701-0.14373i,-0.46035-0.13719i,-0.45117-0.11672i,-0.41858-0.083047i,-0.36408-0.054689i,-0.28646-0.051578i,-0.21371-0.079362i,-0.14677-0.12892i,-0.096537-0.20012i,-0.052913-0.27772i,-0.012673-0.36679i,0.026729-0.58773i,0.0048926-0.69399i
-0.56792+0.83883i,-0.65086+0.88632i,-0.73117+0.8994i,-0.81214+0.88129i,-0.90154+0.83738i,-0.99032+0.78983i,-1.0823+0.75768i,-1.1697+0.73881i,-1.2351+0.73787i,-1.2882+0.75348i,-1.3072+0.76992i,-1.3184+0.75209i,-1.3165+0.72257i,-1.3129+0.68582i,-1.3002+0.64725i,-1.2684+0.60678i,-1.2144+0.55318i,-1.1289+0.48477i,-1.0291+0.39539i,-0.93014+0.26805i,-0.84373+0.11014i,-0.80253-0.062607i,-0.79282-0.23367i,-0.83074-0.39444i,-0.95278-0.60278i,-1.0007-0.6537i,-1.0135-0.71516i,-0.99411-0.76i,-0.9725-0.81186i,-0.97324-0.85765i,-1.0012-0.89206i,-1.0441-0.89246i,-1.1026-0.84533i,-1.1326-0.75005i,-1.1309-0.63126i,-1.0731-0.49187i,-0.96142-0.37436i,-0.62624-0.26841i,-0.45294-0.29387i,-0.30899-0.35404i,-0.22022-0.4376i,-0.18379-0.52329i,-0.19687-0.58057i,-0.25207-0.60543i,-0.31631-0.59745i,-0.39627-0.56309i,-0.4618-0.4929i,-0.50917-0.41111i,-0.52499-0.3062i,-0.50439-0.19294i,-0.37719+0.013698i,-0.29478+0.097545i
