-0.15624+0.54479i,-0.31751+0.40685i,-0.5019+0.29001i,-0.68664+0.2133i,-0.84879+0.17358i,-0.97271+0.17328i,-1.0668+0.19598i,-1.1318+0.22122i,-1.1744+0.25233i,-1.2164+0.28183i,-1.2395+0.32124i,-1.2501+0.3471i,-1.2419+0.37251i,-1.2153+0.38791i,-1.1699+0.39106i,-1.1067+0.37983i,-1.0294+0.35134i,-0.94586+0.29736i,-0.86668+0.23245i,-0.81206+0.16151i,-0.77833+0.08803i,-0.75984+0.032175i,-0.76106-0.0084023i,-0.75199-0.022057i,-0.73077-0.039329i,-0.6945-0.053345i,-0.64966-0.07735i,-0.60559-0.11215i,-0.55361-0.19012i,-0.55371-0.21974i,-0.56896-0.21808i,-0.59861-0.18133i,-0.61881-0.11593i,-0.61296-0.021014i,-0.58496+0.078651i,-0.51731+0.18089i,-0.42223+0.24968i,-0.31759+0.29992i,-0.20769+0.31861i,-0.10437+0.31917i,-0.012746+0.31003i,0.063862+0.29711i,0.12061+0.28988i,0.15556+0.27832i,0.17682+0.27006i,0.17757+0.27397i,0.16491+0.28072i,0.15941+0.29829i,0.15129+0.3067i,0.14468+0.32957i,0.14843+0.35234i,0.15662+0.39642i,0.178+0.45793i,0.21411+0.53044i,0.25759+0.59702i,0.29825+0.66094i
-0.091722-0.18857i,0.11618-0.11074i,0.32248-0.08004i,0.48292-0.063367i,0.59611-0.018243i,0.67674+0.065211i,0.76182+0.16892i,0.86703+0.27312i,0.97972+0.34695i,1.1006+0.37306i,1.1981+0.36011i,1.2885+0.32528i,1.3566+0.26627i,1.4008+0.19112i,1.4096+0.10912i,1.3742+0.03699i,1.2977-0.006619i,1.1987-0.0070872i,1.0871+0.024235i,0.98304+0.068923i,0.88933+0.1245i,0.79673+0.1812i,0.72214+0.2367i,0.65293+0.29631i,0.61764+0.36546i,0.6062+0.42251i,0.61432+0.45895i,0.62515+0.47i,0.59969+0.4396i,0.55941+0.41946i,0.4965+0.39458i,0.42134+0.36418i,0.33552+0.34674i,0.24113+0.34781i,0.17007+0.37106i,0.11901+0.41335i,0.11526+0.47172i,0.14316+0.51157i,0.19112+0.5386i,0.23984+0.54758i,0.2805+0.54476i,0.31471+0.5334i,0.34469+0.50433i,0.37842+0.45926i,0.4021+0.39983i,0.41315+0.32521i,0.42214+0.25845i,0.42654+0.21389i,0.46047+0.1919i,0.50756+0.16676i,0.56062+0.14428i,0.59321+0.10731i,0.59363+0.071734i,0.56723+0.045223i,0.53442+0.022673i,0.49252-0.026114i
0.54261-0.50463i,0.56741-0.45856i,0.62417-0.41425i,0.67584-0.39386i,0.6932-0.38499i,0.66518-0.37548i,0.61643-0.34901i,0.56546-0.29525i,0.52346-0.23042i,0.50723-0.1604i,0.4953-0.090954i,0.49912+0.00068169i,0.51873+0.10513i,0.56355+0.22199i,0.634+0.33856i,0.7223+0.44263i,0.81839+0.52831i,0.91788+0.59994i,1.0182+0.64409i,1.1282+0.65406i,1.2348+0.62838i,1.3188+0.55774i,1.3755+0.45583i,1.3764+0.3354i,1.332+0.23598i,1.2481+0.15915i,1.1395+0.11446i,1.0146+0.099532i,0.73577+0.15101i,0.59736+0.22252i,0.47323+0.31113i,0.38019+0.40865i,0.31406+0.51325i,0.2689+0.61213i,0.25563+0.70964i,0.25841+0.7941i,0.28569+0.87547i,0.33209+0.92279i,0.37816+0.9394i,0.40449+0.91958i,0.39622+0.8761i,0.35349+0.82893i,0.2916+0.78848i,0.23328+0.76956i,0.18486+0.76348i,0.15707+0.7549i,0.14642+0.74975i,0.13543+0.74568i,0.13926+0.75675i,0.15184+0.7588i,0.16426+0.75869i,0.16793+0.73545i,0.14957+0.70131i,0.11506+0.67313i,0.093758+0.66597i,0.11684+0.65736i
-0.3348-1.6311i,-0.31657-1.6127i,-0.26294-1.5567i,-0.20964-1.4987i,-0.1869-1.4251i,-0.20737-1.3431i,-0.22322-1.2409i,-0.21574-1.1081i,-0.17855-0.99064i,-0.084563-0.90052i,-0.00087745-0.85838i,0.084202-0.80219i,0.16039-0.74879i,0.24394-0.68211i,0.3383-0.61648i,0.43012-0.56978i,0.49657-0.54761i,0.52199-0.52622i,0.49903-0.51657i,0.46103-0.50446i,0.40582-0.46653i,0.33404-0.423i,0.28441-0.35844i,0.21852-0.29075i,0.16919-0.16959i,0.14046-0.038898i,0.14195+0.096307i,0.16568+0.21489i,0.21181+0.37159i,0.21855+0.43644i,0.22099+0.47558i,0.24973+0.48685i,0.28425+0.47743i,0.30434+0.42373i,0.32706+0.35121i,0.30313+0.24876i,0.25251+0.17921i,0.18731+0.10004i,0.09749+0.04499i,-0.013993-0.0031941i,-0.14639-0.04244i,-0.28777-0.06721i,-0.41392-0.09222i,-0.50349-0.10306i,-0.57315-0.12722i,-0.6214-0.19199i,-0.67229-0.26419i,-0.77411-0.33028i,-0.88108-0.32603i,-0.98148-0.29375i,-1.0669-0.21011i,-1.1252-0.14503i,-1.1834-0.10346i,-1.2529-0.075606i,-1.3098-0.028409i,-1.3181+0.012401i
0.090568-0.55424i,0.14341-0.45728i,0.18293-0.33816i,0.23132-0.21853i,0.28365-0.11797i,0.34781-0.04949i,0.41583+0.010623i,0.47499+0.070189i,0.54586+0.1327i,0.63033+0.21895i,0.73668+0.29022i,0.82471+0.35709i,0.90259+0.41239i,0.9568+0.46701i,0.99276+0.52565i,1.0205+0.58468i,1.0459+0.63468i,1.0594+0.66869i,1.0726+0.68047i,1.0801+0.6881i,1.0663+0.68768i,1.0422+0.67748i,0.99721+0.68207i,0.94076+0.67673i,0.84148+0.68316i,0.72746+0.7029i,0.60345+0.74222i,0.48579+0.79551i,0.30441+0.88831i,0.22642+0.90546i,0.16116+0.89775i,0.1004+0.88279i,0.028289+0.85323i,-0.047037+0.80636i,-0.14085+0.76632i,-0.24056+0.71215i,-0.37457+0.66437i,-0.50318+0.63104i,-0.63573+0.60405i,-0.75054+0.57837i,-0.84159+0.54486i,-0.91015+0.49996i,-0.95041+0.44899i,-0.97938+0.40061i,-0.98865+0.3446i,-0.96605+0.28565i,-0.93307+0.21366i,-0.8969+0.098799i,-0.89565-0.031804i,-0.90469-0.17552i,-0.94334-0.32676i,-0.97115-0.47508i,-0.98566-0.63063i,-0.99039-0.79505i,-1.0035-0.95028i,-1.0105-1.0736i
1.2572+1.0233i,1.2216+1.0284i,1.1595+1.0521i,1.1031+1.0616i,1.0397+1.0297i,0.9708+0.94109i,0.8827+0.83944i,0.75986+0.74931i,0.63981+0.68089i,0.54149+0.66469i,0.48291+0.63959i,0.41729+0.61731i,0.3575+0.57709i,0.28375+0.5302i,0.19909+0.48106i,0.11086+0.42698i,0.021502+0.36254i,-0.083903+0.29123i,-0.18285+0.21417i,-0.26749+0.16362i,-0.34352+0.13312i,-0.38277+0.1051i,-0.39224+0.095325i,-0.36973+0.047796i,-0.3733-0.015029i,-0.38493-0.096183i,-0.41652-0.17714i,-0.45853-0.24977i,-0.53814-0.37054i,-0.58139-0.41553i,-0.60163-0.44924i,-0.59195-0.45089i,-0.56397-0.4415i,-0.50315-0.44382i,-0.43235-0.43919i,-0.34914-0.47095i,-0.30531-0.51159i,-0.25974-0.55455i,-0.24026-0.60403i,-0.22956-0.66174i,-0.23104-0.72981i,-0.2541-0.79828i,-0.2908-0.84389i,-0.3562-0.83548i,-0.4245-0.77832i,-0.45688-0.66501i,-0.46431-0.5138i,-0.44453-0.37969i,-0.43694-0.23721i,-0.40402-0.10589i,-0.37741+0.0066928i,-0.31111+0.094103i,-0.22185+0.13258i,-0.13538+0.11968i,-0.091155+0.090817i,-0.072136+0.087869i
-0.23774+0.69616i,-0.14537+0.6189i,-0.084832+0.50294i,-0.039337+0.35749i,-0.0088381+0.17663i,0.010976-0.035467i,-0.0047291-0.25448i,-0.070822-0.46613i,-0.16801-0.63999i,-0.29116-0.74946i,-0.3951-0.81277i,-0.49682-0.84895i,-0.57718-0.86632i,-0.64703-0.87215i,-0.70385-0.86567i,-0.73864-0.84867i,-0.74365-0.83005i,-0.72688-0.82597i,-0.68514-0.83785i,-0.64281-0.85483i,-0.61448-0.88114i,-0.59327-0.90146i,-0.59354-0.89629i,-0.58527-0.87228i,-0.58933-0.8325i,-0.57679-0.76701i,-0.53979-0.68i,-0.4609-0.58242i,-0.15124-0.45156i,0.043698-0.47282i,0.23445-0.55787i,0.37911-0.68628i,0.45538-0.84846i,0.46717-1.0142i,0.40061-1.1518i,0.29366-1.2519i,0.13763-1.3097i,-0.024773-1.3i,-0.17758-1.2443i,-0.29323-1.1516i,-0.3617-1.0454i,-0.39101-0.94715i,-0.39627-0.86093i,-0.41019-0.78973i,-0.43253-0.72762i,-0.45941-0.65239i,-0.49438-0.57347i,-0.5175-0.50982i,-0.56157-0.46299i,-0.60504-0.41773i,-0.65736-0.38211i,-0.68913-0.33135i,-0.68727-0.28166i,-0.65377-0.25119i,-0.62029-0.25176i,-0.60508-0.26395i
0.56353-0.74837i,0.66473-0.64547i,0.81804-0.52737i,0.97288-0.44484i,1.0772-0.39146i,1.1074-0.3626i,1.097-0.32865i,1.0654-0.26953i,1.0313-0.21259i,1.0247-0.15773i,1.0061-0.12325i,0.9881-0.057997i,0.97499+0.018552i,0.98026+0.10887i,1.001+0.18985i,1.0144+0.24083i,0.98988+0.26024i,0.90746+0.27752i,0.77049+0.2962i,0.61704+0.33782i,0.4581+0.41702i,0.30718+0.51115i,0.1968+0.6285i,0.10099+0.7429i,0.036513+0.88982i,0.0070384+1.0284i,0.010501+1.1495i,0.030174+1.2345i,0.02734+1.2915i,-0.014014+1.3044i,-0.064997+1.3065i,-0.092866+1.3021i,-0.10681+1.2933i,-0.11518+1.2592i,-0.10435+1.2218i,-0.10512+1.1653i,-0.10643+1.1335i,-0.094639+1.0855i,-0.089734+1.0352i,-0.10001+0.96581i,-0.13604+0.88257i,-0.19334+0.79959i,-0.24826+0.71597i,-0.28013+0.64818i,-0.29474+0.57232i,-0.2879+0.4682i,-0.28455+0.36132i,-0.32332+0.26056i,-0.37621+0.22204i,-0.42948+0.21141i,-0.4863+0.2422i,-0.53882+0.26306i,-0.61273+0.27591i,-0.7103+0.29986i,-0.79509+0.36865i,-0.8091+0.45576i
-0.29036-0.41967i,-0.26168-0.30546i,-0.1626-0.16914i,-0.022953-0.034541i,0.14194+0.095942i,0.30857+0.21886i,0.48474+0.31201i,0.6735+0.37093i,0.84424+0.38472i,0.98911+0.34534i,1.0749+0.29965i,1.1437+0.27575i,1.2001+0.28532i,1.2772+0.31961i,1.3813+0.35427i,1.4981+0.36724i,1.6035+0.35031i,1.6851+0.31194i,1.7164+0.25999i,1.703+0.19493i,1.6541+0.14182i,1.5622+0.11226i,1.4553+0.10552i,1.3287+0.14929i,1.2382+0.24285i,1.1813+0.36455i,1.1707+0.48958i,1.1944+0.59455i,1.2674+0.71326i,1.3017+0.73758i,1.3193+0.73816i,1.3276+0.703i,1.3267+0.64784i,1.2981+0.57816i,1.2585+0.49372i,1.1885+0.42033i,1.128+0.36403i,1.0573+0.30378i,0.98799+0.24922i,0.90348+0.19331i,0.79781+0.14241i,0.67619+0.10335i,0.54463+0.070309i,0.42871+0.040387i,0.31857+0.012306i,0.20202-0.027606i,0.08624-0.060067i,-0.038912-0.052853i,-0.12698-0.0095521i,-0.19418+0.052042i,-0.22402+0.12787i,-0.25451+0.18722i,-0.30137+0.24483i,-0.36148+0.32041i,-0.39537+0.42204i,-0.38034+0.52409i
0.7652-0.63575i,0.83095-0.76144i,0.87225-0.8583i,0.89349-0.93852i,0.89223-1.0066i,0.85947-1.0698i,0.8033-1.1234i,0.72854-1.155i,0.63796-1.1676i,0.5456-1.1594i,0.43594-1.1257i,0.32458-1.0423i,0.21993-0.90694i,0.14863-0.71607i,0.13422-0.4871i,0.18818-0.25142i,0.30441-0.043285i,0.46339+0.11575i,0.63418+0.20747i,0.79836+0.2349i,0.9353+0.21918i,1.0318+0.17368i,1.0984+0.11906i,1.1266+0.068448i,1.1395+0.044649i,1.1475+0.037452i,1.1646+0.039477i,1.1921+0.033412i,1.2306-0.048118i,1.2131-0.11215i,1.1616-0.17748i,1.092-0.22873i,1.016-0.25081i,0.9451-0.25067i,0.90021-0.23391i,0.87067-0.21649i,0.86405-0.19719i,0.87208-0.2018i,0.88322-0.22797i,0.88278-0.28443i,0.85614-0.36649i,0.79556-0.46052i,0.70399-0.55396i,0.59701-0.62617i,0.48243-0.67526i,0.3727-0.71188i,0.26853-0.73376i,0.15285-0.74103i,0.037619-0.719i,-0.078539-0.67661i,-0.18517-0.60448i,-0.27493-0.52813i,-0.35193-0.45591i,-0.42229-0.38965i,-0.48155-0.31628i,-0.51752-0.23144i
0.15859+0.61486i,0.16497+0.62696i,0.16726+0.61074i,0.17271+0.59399i,0.20256+0.581i,0.26619+0.57298i,0.35023+0.54522i,0.44429+0.48061i,0.52634+0.38895i,0.57382+0.26837i,0.59953+0.14387i,0.60754-0.006226i,0.59355-0.16835i,0.55164-0.34482i,0.47639-0.52106i,0.37232-0.67659i,0.25458-0.79601i,0.14398-0.88163i,0.047916-0.92996i,-0.039292-0.95824i,-0.11247-0.97756i,-0.1775-0.98135i,-0.24489-0.98256i,-0.30192-0.96503i,-0.34611-0.95498i,-0.38604-0.93824i,-0.42452-0.91588i,-0.46142-0.87811i,-0.49975-0.73082i,-0.48296-0.63241i,-0.4464-0.51853i,-0.40172-0.39958i,-0.33968-0.27724i,-0.25652-0.14322i,-0.15113-0.018157i,-0.0091648+0.10255i,0.16953+0.18065i,0.35881+0.22167i,0.55488+0.21473i,0.73882+0.1711i,0.90046+0.099614i,1.0302+0.0066581i,1.1124-0.096717i,1.1418-0.20936i,1.1211-0.30614i,1.0516-0.36766i,0.96164-0.39499i,0.88512-0.38268i,0.82972-0.36931i,0.78696-0.34745i,0.76122-0.33011i,0.73531-0.29379i,0.72414-0.23067i,0.7412-0.14712i,0.78779-0.072385i,0.83807-0.019493i
